text,intent,lang
find cheap orange juice under $3,SEARCH_FILTER,en
5 chicken add karo,ADD,hi
ya no necesito harina,REMOVE,es
cereal list mein add karo,ADD,hi
look up detergent,SEARCH_ITEM,en
mujhe roti dikhao,SEARCH_ITEM,hi
busca pan entre $10 y $18,SEARCH_FILTER,es
pyaz $4 ke andar,SEARCH_FILTER,hi
i don't need pasta anymore,REMOVE,en
pani mat bhoolna,ADD,hi
where can i find potatoes,SEARCH_ITEM,en
buy a dozen shampoo,ADD,en
cancel onions,REMOVE,en
"we already have rice, remove it",REMOVE,en
find organic flour,SEARCH_ITEM,en
palak cancel karo,REMOVE,hi
quita jugo de naranja de mi lista,REMOVE,es
quiero comprar platanos,ADD,es
muestrame mantequilla por menos de $3,SEARCH_FILTER,es
puedes agregar arroz,ADD,es
kirkland paneer dhundo,SEARCH_ITEM,hi
add some apples,ADD,en
chicken under $10,SEARCH_FILTER,en
encuentra manzanas,SEARCH_ITEM,es
find cheese in small,SEARCH_ITEM,en
2 milk,ADD,en
i need toothpaste,ADD,en
find bananas in family size,SEARCH_ITEM,en
mujhe paneer dikhao,SEARCH_ITEM,hi
roti $10 se kam mein dhundo,SEARCH_FILTER,hi
detergent for less than $3,SEARCH_FILTER,en
busca organic manzanas,SEARCH_ITEM,es
find 365 potatoes under $5,SEARCH_FILTER,en
show onions priced under $10,SEARCH_FILTER,en
"ya tenemos cafe, quitalo",REMOVE,es
cancela pasta,REMOVE,es
find flour under $8,SEARCH_FILTER,en
aloo search karo,SEARCH_ITEM,hi
5 chicken chahiye,ADD,hi
eggs,ADD,en
show me potatoes,SEARCH_ITEM,en
cheeni delete karo,REMOVE,hi
"we already have toothpaste, remove it",REMOVE,en
add some yogurt,ADD,en
throw tomatoes on the list,ADD,en
mujhe ab coffee nahi chahiye,REMOVE,hi
seb add karo,ADD,hi
delete flour,REMOVE,en
compra 5 cebollas,ADD,es
where can i find rice,SEARCH_ITEM,en
aloo $10 ke andar,SEARCH_FILTER,hi
sasta paneer $4 se kam mein,SEARCH_FILTER,hi
donde puedo encontrar pan,SEARCH_ITEM,es
quita mantequilla de mi lista,REMOVE,es
look up yogurt,SEARCH_ITEM,en
2 cereal chahiye,ADD,hi
atta $5 se kam mein dhundo,SEARCH_FILTER,hi
sasta atta $4 se kam mein,SEARCH_FILTER,hi
trader joe's toothpaste dhundo,SEARCH_ITEM,hi
look for great value spinach in 1 liter,SEARCH_ITEM,en
find toothpaste in small,SEARCH_ITEM,en
find flour in large,SEARCH_ITEM,en
find 365 apples,SEARCH_ITEM,en
agrega pasta a mi lista,ADD,es
mujhe santre ka juice chahiye,ADD,hi
cancel toothpaste,REMOVE,en
necesito champu,ADD,es
encuentra tomates,SEARCH_ITEM,es
cereal $15 ke andar,SEARCH_FILTER,hi
cereal small mein dhundo,SEARCH_ITEM,hi
muestrame papas,SEARCH_ITEM,es
delete shampoo,REMOVE,en
3 roti,ADD,hi
ande khareedna hai,ADD,hi
chicken $10 ke andar,SEARCH_FILTER,hi
chicken $10 se kam mein dhundo,SEARCH_FILTER,hi
busca queso por menos de $3,SEARCH_FILTER,es
detergent khareedna hai,ADD,hi
throw flour on the list,ADD,en
remember to get flour,ADD,en
look up bread,SEARCH_ITEM,en
kele cancel karo,REMOVE,hi
find onions,SEARCH_ITEM,en
add a bag of detergent,ADD,en
remove potatoes,REMOVE,en
mujhe ab pasta nahi chahiye,REMOVE,hi
santre ka juice list se hatao,REMOVE,hi
can you add butter,ADD,en
find great value apples under $15,SEARCH_FILTER,en
add some butter,ADD,en
cereal mat bhoolna,ADD,hi
mujhe ab dahi nahi chahiye,REMOVE,hi
roti,ADD,hi
busca pollo por menos de $4,SEARCH_FILTER,es
mujhe olive oil dikhao,SEARCH_ITEM,hi
2 bottles of spinach,ADD,en
borra agua,REMOVE,es
look up orange juice,SEARCH_ITEM,en
remove yogurt from my list,REMOVE,en
where can i find yogurt,SEARCH_ITEM,en
great value cereal dhundo,SEARCH_ITEM,hi
cancela queso,REMOVE,es
search for detergent,SEARCH_ITEM,en
find onions between $5 and $13,SEARCH_FILTER,en
muestrame pollo,SEARCH_ITEM,es
throw orange juice on the list,ADD,en
santre ka juice 500g mein dhundo,SEARCH_ITEM,hi
quiero comprar mantequilla,ADD,es
harina por menos de $10,SEARCH_FILTER,es
paneer search karo,SEARCH_ITEM,hi
trader joe's seb dhundo,SEARCH_ITEM,hi
find organic sugar,SEARCH_ITEM,en
detergent $8 aur $11 ke beech dhundo,SEARCH_FILTER,hi
find cheap chicken under $8,SEARCH_FILTER,en
paneer list se hatao,REMOVE,hi
i need to buy cereal,ADD,en
encuentra trader joe's arroz por menos de $15,SEARCH_FILTER,es
busca trader joe's harina,SEARCH_ITEM,es
mujhe pani chahiye,ADD,hi
find me detergent,SEARCH_ITEM,en
pasta de dientes por menos de $15,SEARCH_FILTER,es
mujhe ab tamatar nahi chahiye,REMOVE,hi
take cheese off the list,REMOVE,en
necesito comprar manzanas,ADD,es
show me chicken under $15,SEARCH_FILTER,en
shampoo cancel karo,REMOVE,hi
busca espinacas,SEARCH_ITEM,es
busca jugo de naranja entre $4 y $7,SEARCH_FILTER,es
doodh cancel karo,REMOVE,hi
find sugar,SEARCH_ITEM,en
agrega 3 cans of espinacas,ADD,es
busca cebollas,SEARCH_ITEM,es
remove cereal from my list,REMOVE,en
put spinach on the list,ADD,en
sasta toothpaste $5 se kam mein,SEARCH_FILTER,hi
search for trader joe's eggs,SEARCH_ITEM,en
pyaz delete karo,REMOVE,hi
throw coffee on the list,ADD,en
sasta olive oil $5 se kam mein,SEARCH_FILTER,hi
seb cancel karo,REMOVE,hi
necesito comprar yogur,ADD,es
add 2 toothpaste,ADD,en
i don't need spinach anymore,REMOVE,en
encuentra champu,SEARCH_ITEM,es
find chicken in 1 liter,SEARCH_ITEM,en
doodh $5 ke andar,SEARCH_FILTER,hi
coffee add karo,ADD,hi
find cheap onions under $2,SEARCH_FILTER,en
donde puedo encontrar detergente,SEARCH_ITEM,es
search sugar between $15 and $23,SEARCH_FILTER,en
cheeni $5 se kam mein dhundo,SEARCH_FILTER,hi
search for organic apples,SEARCH_ITEM,en
find cheap apples under $8,SEARCH_FILTER,en
buscame pasta,SEARCH_ITEM,es
take sugar off the list,REMOVE,en
remove butter,REMOVE,en
find kirkland bread under $2,SEARCH_FILTER,en
onions for less than $5,SEARCH_FILTER,en
search flour between $3 and $6,SEARCH_FILTER,en
cancela detergente,REMOVE,es
coffee under $4,SEARCH_FILTER,en
i don't need coffee anymore,REMOVE,en
cancela azucar,REMOVE,es
detergent hatao,REMOVE,hi
get 3 cans of potatoes,ADD,en
scratch yogurt off the list,REMOVE,en
find me olive oil,SEARCH_ITEM,en
encuentra detergente en small,SEARCH_ITEM,es
mujhe ab roti nahi chahiye,REMOVE,hi
espinacas por menos de $8,SEARCH_FILTER,es
agregar pollo,ADD,es
quiero 3 cans of pan,ADD,es
mujhe makhan dikhao,SEARCH_ITEM,hi
i want to buy cereal,ADD,en
dahi hatao,REMOVE,hi
find eggs in 500g,SEARCH_ITEM,en
scratch cereal off the list,REMOVE,en
encuentra platanos en 12 pack,SEARCH_ITEM,es
tomatoes,ADD,en
mujhe cheeni chahiye,ADD,hi
paneer large mein dhundo,SEARCH_ITEM,hi
put spinach on the list,ADD,en
encuentra leche,SEARCH_ITEM,es
show me pasta under $8,SEARCH_FILTER,en
remove olive oil,REMOVE,en
find cheap onions under $10,SEARCH_FILTER,en
remove sugar from my list,REMOVE,en
buscame yogur,SEARCH_ITEM,es
quita arroz de mi lista,REMOVE,es
busca platanos entre $15 y $23,SEARCH_FILTER,es
ya no necesito pollo,REMOVE,es
find olive oil under $8,SEARCH_FILTER,en
muestrame aceite de oliva,SEARCH_ITEM,es
olive oil $2 se kam mein dhundo,SEARCH_FILTER,hi
look up sugar,SEARCH_ITEM,en
doodh 1 liter mein dhundo,SEARCH_ITEM,hi
put sugar on the list,ADD,en
add potatoes to my list,ADD,en
great value shampoo dhundo,SEARCH_ITEM,hi
shampoo family size mein dhundo,SEARCH_ITEM,hi
put tomatoes on the list,ADD,en
muestrame jugo de naranja por menos de $3,SEARCH_FILTER,es
show flour priced under $10,SEARCH_FILTER,en
look up flour,SEARCH_ITEM,en
necesito papas,ADD,es
find bananas,SEARCH_ITEM,en
muestrame pasta de dientes por menos de $4,SEARCH_FILTER,es
remove pasta from my list,REMOVE,en
"ya tenemos harina, quitalo",REMOVE,es
palak $15 se kam mein dhundo,SEARCH_FILTER,hi
throw toothpaste on the list,ADD,en
encuentra manzanas en small,SEARCH_ITEM,es
add rice to my list,ADD,en
sugar under $2,SEARCH_FILTER,en
eggs,ADD,en
pasta family size mein dhundo,SEARCH_ITEM,hi
doodh $10 se kam mein dhundo,SEARCH_FILTER,hi
agrega queso a mi lista,ADD,es
borra arroz,REMOVE,es
i don't need pasta anymore,REMOVE,en
rice under $2,SEARCH_FILTER,en
find shampoo between $2 and $7,SEARCH_FILTER,en
remove butter from my list,REMOVE,en
muestrame cafe,SEARCH_ITEM,es
search bananas between $4 and $9,SEARCH_FILTER,en
toothpaste $2 se kam mein dhundo,SEARCH_FILTER,hi
makhan $2 se kam mein dhundo,SEARCH_FILTER,hi
tomatoes under $15,SEARCH_FILTER,en
cereal for less than $3,SEARCH_FILTER,en
cheeni hatao,REMOVE,hi
cheese for less than $10,SEARCH_FILTER,en
busca huevos entre $5 y $13,SEARCH_FILTER,es
roti list se hatao,REMOVE,hi
milk,ADD,en
cancel bread,REMOVE,en
agregar pollo,ADD,es
encuentra champu,SEARCH_ITEM,es
get rid of chicken,REMOVE,en
i don't need coffee anymore,REMOVE,en
mujhe seb chahiye,ADD,hi
agrega a dozen pollo,ADD,es
cancel bread,REMOVE,en
find spinach under $8,SEARCH_FILTER,en
champu por menos de $10,SEARCH_FILTER,es
busca jugo de naranja por menos de $5,SEARCH_FILTER,es
search for trader joe's pasta,SEARCH_ITEM,en
detergent dhundo,SEARCH_ITEM,hi
cancel bread,REMOVE,en
find cheap tomatoes under $3,SEARCH_FILTER,en
paneer small mein dhundo,SEARCH_ITEM,hi
i need to buy sugar,ADD,en
buscame platanos,SEARCH_ITEM,es
don't forget coffee,ADD,en
busca platanos entre $3 y $8,SEARCH_FILTER,es
can you add detergent,ADD,en
busca arroz por menos de $10,SEARCH_FILTER,es
cancela pasta de dientes,REMOVE,es
"we already have cereal, remove it",REMOVE,en
"se nos acabo el pasta, agregalo",ADD,es
elimina cebollas,REMOVE,es
find chicken between $5 and $13,SEARCH_FILTER,en
ande $4 se kam mein dhundo,SEARCH_FILTER,hi
muestrame pollo,SEARCH_ITEM,es
sasta cheeni $8 se kam mein,SEARCH_FILTER,hi
3 cans of pan,ADD,es
pyaz,ADD,hi
kele list se hatao,REMOVE,hi
saca leche de la lista,REMOVE,es
busca aceite de oliva,SEARCH_ITEM,es
search for organic pasta,SEARCH_ITEM,en
find organic onions,SEARCH_ITEM,en
"ya tenemos papas, quitalo",REMOVE,es
look for great value flour in 12 pack,SEARCH_ITEM,en
find coffee in large,SEARCH_ITEM,en
agregar harina,ADD,es
papas por menos de $10,SEARCH_FILTER,es
find cheap apples under $2,SEARCH_FILTER,en
muestrame aceite de oliva por menos de $15,SEARCH_FILTER,es
list mein shampoo daalo,ADD,hi
find great value olive oil under $8,SEARCH_FILTER,en
ande khareedna hai,ADD,hi
saca pasta de la lista,REMOVE,es
puedes agregar tomates,ADD,es
busca aceite de oliva entre $8 y $16,SEARCH_FILTER,es
where can i find yogurt,SEARCH_ITEM,en
muestrame aceite de oliva por menos de $4,SEARCH_FILTER,es
sasta olive oil $4 se kam mein,SEARCH_FILTER,hi
necesito cereal,ADD,es
dahi search karo,SEARCH_ITEM,hi
add potatoes to my list,ADD,en
scratch yogurt off the list,REMOVE,en
take potatoes off the list,REMOVE,en
mujhe ab atta nahi chahiye,REMOVE,hi
find cheap bread under $15,SEARCH_FILTER,en
cereal delete karo,REMOVE,hi
saca pasta de dientes de la lista,REMOVE,es
kirkland ande dhundo,SEARCH_ITEM,hi
busca azucar por menos de $3,SEARCH_FILTER,es
muestrame platanos,SEARCH_ITEM,es
i want to buy detergent,ADD,en
get 2 bottles of eggs,ADD,en
sasta pasta $4 se kam mein,SEARCH_FILTER,hi
find onions,SEARCH_ITEM,en
remove toothpaste from my list,REMOVE,en
quiero a dozen arroz,ADD,es
